2017-02-21 10:04:34,node1,wind,0.46
2017-02-21 10:04:36,node1,wind,-0.16
2017-02-21 10:04:38,node1,wind,-0.13
2017-02-21 10:04:42,node1,wind,-0.11
2017-02-21 10:04:58,node1,wind,0.11
2017-02-21 10:05:00,node1,tmp,-0.73
2017-02-21 10:05:00,node1,wind,0.59
2017-02-21 10:05:02,node1,tmp,-2.14
2017-02-21 10:05:02,node1,wind,2.35
2017-02-21 10:05:04,node1,tmp,-2.58
2017-02-21 10:05:04,node1,wind,0.36
2017-02-21 10:05:06,node1,tmp,-1.62
2017-02-21 10:05:06,node1,wind,-1.41
2017-02-21 10:05:08,node1,tmp,-1.03
2017-02-21 10:05:08,node1,wind,0.4
2017-02-21 10:05:10,node1,tmp,-0.68
2017-02-21 10:05:10,node1,wind,-0.68
2017-02-21 10:05:12,node1,tmp,-1.13
2017-02-21 10:05:12,node1,wind,1.89
2017-02-21 10:05:14,node1,tmp,-0.67
2017-02-21 10:05:14,node1,wind,-0.99
2017-02-21 10:05:16,node1,tmp,-1.11
2017-02-21 10:05:16,node1,wind,0.47
2017-02-21 10:05:18,node1,wind,0.37
2017-02-21 10:05:20,node1,wind,-0.69
2017-02-21 10:05:22,node1,wind,-1.53
2017-02-21 10:05:24,node1,tmp,0.45
2017-02-21 10:05:24,node1,wind,0.11
2017-02-21 10:05:26,node1,tmp,0.89
2017-02-21 10:05:26,node1,wind,-0.73
2017-02-21 10:05:28,node1,wind,1.46
2017-02-21 10:05:30,node1,wind,-0.23
2017-02-21 10:05:32,node1,tmp,0.67
2017-02-21 10:05:32,node1,wind,-0.37
2017-02-21 10:05:34,node1,wind,0.93
2017-02-21 10:05:36,node1,tmp,-0.56
2017-02-21 10:05:36,node1,wind,-0.73
2017-02-21 10:05:38,node1,wind,-0.94
2017-02-21 10:05:40,node1,wind,0.79
2017-02-21 10:09:01,node1,wind,0.32
2017-02-21 10:09:03,node1,tmp,-1.05
2017-02-21 10:09:03,node1,wind,1.52
2017-02-21 10:10:09,node1,wind,-0.22
2017-02-21 10:10:11,node1,wind,-1.03
2017-02-21 10:10:13,node1,tmp,0.55
2017-02-21 10:10:13,node1,wind,-0.82
2017-02-21 10:10:15,node1,tmp,1.09
2017-02-21 10:10:15,node1,wind,-0.59
2017-02-21 10:10:17,node1,tmp,0.89
2017-02-21 10:10:17,node1,wind,0.24
2017-02-21 10:10:19,node1,wind,0.84
2017-02-21 10:10:21,node1,tmp,0.44
2017-02-21 10:10:25,node1,tmp,0.45
2017-02-21 10:10:29,node1,wind,-0.42
2017-02-21 10:10:31,node1,tmp,-0.78
2017-02-21 10:10:31,node1,wind,1.66
2017-02-21 10:10:33,node1,tmp,-1.0
2017-02-21 10:10:33,node1,wind,0.81
2017-02-21 10:10:35,node1,wind,-0.42
2017-02-21 10:10:37,node1,wind,-0.37
2017-02-21 10:10:39,node1,wind,-1.14
2017-02-21 10:10:41,node1,tmp,0.45
2017-02-21 10:10:41,node1,wind,0.7
2017-02-21 10:10:43,node1,wind,-0.51
2017-02-21 10:10:45,node1,tmp,-0.45
2017-02-21 10:10:45,node1,wind,-0.17
2017-02-21 10:10:47,node1,wind,-0.19
2017-02-21 10:10:49,node1,tmp,0.77
